Titulo,Título_Verif,Categoria,Link,Ranking,Avaliação,Qtd_Avaliação,Relevância,Qualidade da Imagem,Quantidade de Imagens,Vídeos,FBA,Bullets,Data
"Placa de Vídeo PNY RTX 4060 Verto 2x, 8GB, DDR6 - VCG40608DFXPB1-O Dual Fan DLSS 3 (128 bits, PCIe 4.0, GDDR6, HDMI/DisplayPort, suporta 4K, 2 compartimentos)","(158, 'OK')",Placas de Vídeo,https://www.amazon.com.br/PNY-Placa-gr%C3%A1fica-GeForce-RTXTM/dp/B0C8Y619R1/ref=sr_1_44?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-44&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,8,"OK - 4.5, Ótima",283,100.0,"('906x794', 'Necessário alteração. Baixa resolução')",Adicionar mais 2 imagens,Adicionar um video,Sim,OK,22/04/2025
Mouse Cougar Optical Minos X2 / ADNS3050 / 3000 dpi - PN # 3MMX2WOB.0001,"(72, 'OK')",Mouses,https://www.amazon.com.br/Mouse-Cougar-Optical-Minos-ADNS3050/dp/B073R559TB/ref=sr_1_45?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-45&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=m2HGw1-372EnG,813,"OK - 4.3, Boa",26,50.0,"('1500x1257', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
"COUGAR Gabinete Gamer Duoface RGB, Vidro Temperado, E-ATX, 3x Fans ARGB, Branco, 385ZD10.0003","(93, 'OK')",Gabinetes de Computador,https://www.amazon.com.br/COUGAR-Gabinete-Duoface-Temperado-385ZD10-0003/dp/B0CBSMTG6N/ref=sr_1_46?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-46&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6&xpid=m2HGw1-372EnG,246,"OK - 5.0, Ótima",11,46.6,"('692x1164', 'OK')",Adicionar mais 2 imagens,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
"Placa Mãe Gigabyte B760 Aorus Master, Ddr4, Atx, Lga1700","(56, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-Gigabyte-B760-Master-Lga1700/dp/B0BPMH6ZV5/ref=sr_1_47?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-47&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,63,Incentivar + review positivo - 4.1,6,36.4,"('948x619', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,OK,22/04/2025
Placa Mãe Asus PRIME B650M-A II (AM5/4xDDR5/HDMI/DisplayPort/VGA/M.2/USB 3.2),"(77, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-PRIME-B650M-4xDDR5-DisplayPort/dp/B0BSVDH6MH/ref=sr_1_48?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-48&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,56,Incentivar + review positivo - 4.1,18,43.6,"('1500x937', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"MSI Placa mãe para jogos MPG B650 Edge WiFi (processadores AMD Ryzen 9000/8000/7000, AM5, ATX, DDR5, PCIe 4.0, M.2, SATA 6Gb/s, USB 3.2 Gen 2, HDMI/DP, Wi-Fi 6E, Bluetooth 5.3, ATX)","(181, 'OK')",Placas-Mãe,https://www.amazon.com.br/MSI-B650-Gaming-processadores-desktop/dp/B0BHCD117G/ref=sr_1_49?dib=eyJ2IjoiMSJ9.b2-OKt0Tq9qSRfyD3vNpHr-IPuSpVDXjMd8Fl804Oq-4sT84dOW3zPzS66FPdOnOsm9wvswI8JCCvFht3PfBjw.qHc7MukF6k-PgXLtrJ6J7VJXoNyv6eg6JOgQ8GuzFOQ&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347546&s=merchant-items&sr=1-49&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,null,"OK - 4.2, Boa",172,100.0,"('1200x880', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"MSI Placa-mãe para jogos MAG B760 Tomahawk WiFi (suporta processadores Intel de 12ª/13ª geração, LGA 1700, DDR5, PCIe 5.0, M.2, LAN de 2,5 Gbps, USB 3.2 Gen2, Wi-Fi 6E, ATX)","(173, 'OK')",Placas-Mãe,https://www.amazon.com.br/MSI-Placa-m%C3%A3e-Tomahawk-suporta-processadores/dp/B0BRQV1P6M/ref=sr_1_50?dib=eyJ2IjoiMSJ9.b2-OKt0Tq9qSRfyD3vNpHr-IPuSpVDXjMd8Fl804Oq-4sT84dOW3zPzS66FPdOnOsm9wvswI8JCCvFht3PfBjw.qHc7MukF6k-PgXLtrJ6J7VJXoNyv6eg6JOgQ8GuzFOQ&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347546&s=merchant-items&sr=1-50&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,1039,"OK - 4.5, Ótima",239,100.0,"('1500x1001', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
Notebook Gigabyte G5 ME (Core i5 / 12500H / RTX 3050Ti 4GB/ 16G DDR4 / 512GB SSD/Tela 15.6 FHD 144Hz/ Win 11) Preto,"(115, 'OK')",Laptops Tradicionais,https://www.amazon.com.br/Notebook-Gigabyte-G5-Intel-GeForce/dp/B0C7LMYMCH/ref=sr_1_51?dib=eyJ2IjoiMSJ9.b2-OKt0Tq9qSRfyD3vNpHr-IPuSpVDXjMd8Fl804Oq-4sT84dOW3zPzS66FPdOnOsm9wvswI8JCCvFht3PfBjw.qHc7MukF6k-PgXLtrJ6J7VJXoNyv6eg6JOgQ8GuzFOQ&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347546&s=merchant-items&sr=1-51&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,1018,Incentivar + review positivo - 4.0,3,33.8,"('840x609', 'Necessário alteração. Baixa resolução')",Adicionar mais 1 imagens,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Notebook Gamer Gigabyte G5 (Core i5/ 12500H/ 16GB DDR4/ 512GB SSD/VGA RTX 4060/ Win 11 Home/Tela 15.6 FHD) Preto,"(112, 'OK')",Laptops Tradicionais,https://www.amazon.com.br/Notebook-Gamer-Gigabyte-12500H-512GB/dp/B0CWPPFWKP/ref=sr_1_52?dib=eyJ2IjoiMSJ9.b2-OKt0Tq9qSRfyD3vNpHr-IPuSpVDXjMd8Fl804Oq-4sT84dOW3zPzS66FPdOnOsm9wvswI8JCCvFht3PfBjw.qHc7MukF6k-PgXLtrJ6J7VJXoNyv6eg6JOgQ8GuzFOQ&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347546&s=merchant-items&sr=1-52&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,1499,null,-,0.0,"('1332x877', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"GIGABYTE Notebook Gamer G5 Kd, Intel I5-11400h, 15.6, Fhd, 16gb Ddr4, Ssd 512gb M.2, Rtx 3060 6gb, G5 Kd-52br123sd, Preto","(121, 'OK')",Laptops Tradicionais,https://www.amazon.com.br/GIGABYTE-Notebook-Gamer-I5-11400h-Kd-52br123sd/dp/B09W41TSBK/ref=sr_1_53?dib=eyJ2IjoiMSJ9.b2-OKt0Tq9qSRfyD3vNpHr-IPuSpVDXjMd8Fl804Oq-4sT84dOW3zPzS66FPdOnOsm9wvswI8JCCvFht3PfBjw.qHc7MukF6k-PgXLtrJ6J7VJXoNyv6eg6JOgQ8GuzFOQ&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347546&s=merchant-items&sr=1-53&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,807,Incentivar + review positivo - 4.0,8,36.8,"('900x593', 'Necessário alteração. Baixa resolução')",Adicionar mais 1 imagens,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
